Predicted label, Actual label, Review
2, 3, "Visited with office friends. First things first, the staff was very polite and prompt. They kept asking what they should bring for us next and kept trying to over feed us 😄 We even asked for a change of barbecue as it seemed one of them was not hot enough. The server tried to explain why too much heat is not good and might spoil/overcook the food, but on insisting, politely changed the barbecue.

Coming to the food:
Vegetarian had a variety of dishes from paneer , mushroom, crispy corn, potato etc. for starters. So, yes this place is good enough for vegetarians too.

Non- vegetarian starters had basic chicken (tandoori/leg), fish, prawns, mutton seek kabab (must try) Etc.

The main course, like any other buffet place was not that interesting. Noodles being one of my personal favourite, were a little disappointing.

The sweet section would make anyone happy. A thing to notice was that even though we stayed till the outlet was almost going to close, the sweet cornor was refilled on time.

Again kudos to the servers who made it a happy experience!!"
3, 4, "Authenticity...seafood must try. Not spicy, bland and pure Chinese. Schezwan chicken, corn mushroom fried rice, Thukpa, big bowl noodles...yum!"
0, 1, "The place had too many mosquitos.
Food was served cold and was below average
Service was not upto the mark.
Ambience was good.
Not worth it."
4, 2, "Loved the food."
1, 0, "Donuts were okay.
Milkshakes and thick coffee was horrible.
AC want working and tables were very dirty.
Wouldn't recommend anyone to visit.."
3, 4, "Been here for my college farewell on a tuesday afternoon! Absolutely loved the ambience. In Food , starters were amazing . However, main course and desserts could be better. We booked the dance floor with additional charges and have to say we had hell of a time dancing to the dj. Absolutely customer friendly service.

Overall,
Ambience - 5/5
Dj-5/5
Food-4.5/5
Service-5/5
Will recommend for partys with friends!!"
1, 0, "I ordered dal makhni , garlic naan and butter roti... It wasn't good at all. It tasted a bit sour.. Like a stale food. Roti n naan were hard to chew."
2, 3, "if the pongal is made tastier then it would be more better and will have the good ratings as well"
2, 3, "packing was nice. food was good. but pineapple was ripped perfectly as well as it was not fresh. another thing is I ordered for juice pack and u sent me water bottle."
1, 0, "I have been to this place on a sunday with my friends thinking I can have a good meal and spend time with friends but the moment I arrived there it was around 2:15pm and the manager there started nagging saying that the kitchen is going to close in next 10 minutes can you please place the order. This continued even after we placed the main course around 2:30 pm too.. The food tasted good but the nagging was annoying.."
0, 2, "curd rice not good"
3, 2, "I had ordered out everytime. The packaging is excellent although the food is okayish. The shawarma is like having roti and malai chicken. The rumali roti is soft and the filling inside is moist. There was not punch of flavour but a monotony on the pallette. Also their waffles are okayish too."
4, 3, "One of the best places to get your bakery and dessert requirements fixed!
They have been so goood with what they do they have become a household name to reckon with.
Rainbow pastry and fruit biscuits are the one to die for!
Keep the flag high!"
4, 3, "The food is really good and waiter Narender is very enthusiastic with his work. Ambience is just ok and starters are awesome. Main course is just ok and deserts are available with different varieties. 5star rating for Narendra for his work and service."
3, 2, "Nice ambiance. Food is good to average nothing to write home about ?. My only complaint is the portion size which is a tad smaller for the money u r paying. We ordered hariyali tikka which was too soft n yummy. One crispy fried chicken whose actual name I forgot. Overall a nice experience partly due to the courteous staff but food portion is something that can be looked into."
3, 2, "Visited YYT with my family for Friday dinner. Was longing to have Mandi for long. The restaurant is located close to Q-City amidst the residential property but still attracts good foot fall. The décor is simple yet beautiful. Generous staff. We ordered half chicken mandi and later an extra chicken piece, it was more than sufficient; needless to say it was heavenly. Would love to try desserts from the menu specially baklawa. Good place for get-together. Request the staff to maintain clean washrooms and dining/seating area."
3, 4, "Good food and Great Ambience... Nice place to have Mandi..and this place offers variety of Arabian, Turkish recipes too..Also a great place to take clicks..."
