Predicted label, Actual label, Review
2, 3, "Visited with office friends. First things first, the staff was very polite and prompt. They kept asking what they should bring for us next and kept trying to over feed us 😄 We even asked for a change of barbecue as it seemed one of them was not hot enough. The server tried to explain why too much heat is not good and might spoil/overcook the food, but on insisting, politely changed the barbecue.

Coming to the food:
Vegetarian had a variety of dishes from paneer , mushroom, crispy corn, potato etc. for starters. So, yes this place is good enough for vegetarians too.

Non- vegetarian starters had basic chicken (tandoori/leg), fish, prawns, mutton seek kabab (must try) Etc.

The main course, like any other buffet place was not that interesting. Noodles being one of my personal favourite, were a little disappointing.

The sweet section would make anyone happy. A thing to notice was that even though we stayed till the outlet was almost going to close, the sweet cornor was refilled on time.

Again kudos to the servers who made it a happy experience!!"
2, 3, "Good place. We went to its AC seating area in the cellar. Had butter masala dosa, karampodi idly and Ravva dosa. All were satisfactory . Sambar was bot good but Chutney was good."
2, 3, "Liked the food, the Tom yum soup was okay. The chicken n prawn appetizers were pretty good n tasty. Prawn in oyster sauce was nice. Overall a good experience considering we were a group of 15 with 2 infants ..."
3, 4, "Authenticity...seafood must try. Not spicy, bland and pure Chinese. Schezwan chicken, corn mushroom fried rice, Thukpa, big bowl noodles...yum!"
1, 2, "taste was good. but you provided only one mayo packet and 2 chilli sauce for 3 momo orders. and the ones provided dripped onto the package because of loose package"
1, 2, "Marsala Food company is an alright place to have a quick lunch if you don’t want to travel far from work. We ordered a mutton biryani and literally had to tug the mutton pieces apart; they were really hard. The food is fine and doesn’t actually reach the fine dining standards the restaurant boats of. The place could use better service and food quality.
Overall, not a bad place to have a meal."
4, 2, "Loved the food."
3, 4, "Been here for my college farewell on a tuesday afternoon! Absolutely loved the ambience. In Food , starters were amazing . However, main course and desserts could be better. We booked the dance floor with additional charges and have to say we had hell of a time dancing to the dj. Absolutely customer friendly service.

Overall,
Ambience - 5/5
Dj-5/5
Food-4.5/5
Service-5/5
Will recommend for partys with friends!!"
1, 2, "too oily"
2, 3, "Went there on an IPL night. Music and ambience is nice. We ordered drinks and a couple of starters such as stuffed mushroom, chicken in black bean sauce, jalapeno poppers and a fish dish. All the dishes were good but the jalapeno poppers and stuffed mushroom were impressive. The service is slow though and ordering drinks on the app might become a challange at times. Overall a nice place to hangout."
2, 3, "Been here with office colleagues, overall a good place to hangout with a gang. But the sitting arrangements during day time is very tight as people would want to dine inside rather than out in the hot sun.

The food was excellent in taste, The chicken dum biriyani had a very different taste and I loved it."
2, 3, "if the pongal is made tastier then it would be more better and will have the good ratings as well"
1, 3, "packing was nice. food was good. but pineapple was ripped perfectly as well as it was not fresh. another thing is I ordered for juice pack and u sent me water bottle."
4, 3, "Visited Hyderabadi Daawat along with 8 friends for dinner. Surprisingly found this place far too good to my expectations. The ambience, service, food were really gr8. Was really happy to dine at this hidden gem. Ordered Paya shorba which was deliciously made. Succulent paya with equally tasty shorba. For starters we ordered murgh ke Sholay, Phuket fish, rounakhi sheekh kebabs. Every item was a revelation. Gr8 care had been given to maintain the authenticity of each item. For mains we ordered chelo kebab and murgh musallam. Chelo kebab was presented with chicken kebab, and sheekh kebab with tasty ruce. It being a Persian dish, rice was little bland which was complemented perfectly by the combination of both the kebabs. Perfect. And the murgh musallam was as perfect as it could be. Wondered why we have not visited this place before. A definite must visit from me. Keep it up team HD. You rock!!!!"
1, 0, "I have been to this place on a sunday with my friends thinking I can have a good meal and spend time with friends but the moment I arrived there it was around 2:15pm and the manager there started nagging saying that the kitchen is going to close in next 10 minutes can you please place the order. This continued even after we placed the main course around 2:30 pm too.. The food tasted good but the nagging was annoying.."
1, 2, "curd rice not good"
4, 3, "One of the best places to get your bakery and dessert requirements fixed!
They have been so goood with what they do they have become a household name to reckon with.
Rainbow pastry and fruit biscuits are the one to die for!
Keep the flag high!"
4, 3, "The food is really good and waiter Narender is very enthusiastic with his work. Ambience is just ok and starters are awesome. Main course is just ok and deserts are available with different varieties. 5star rating for Narendra for his work and service."
3, 2, "Visited YYT with my family for Friday dinner. Was longing to have Mandi for long. The restaurant is located close to Q-City amidst the residential property but still attracts good foot fall. The décor is simple yet beautiful. Generous staff. We ordered half chicken mandi and later an extra chicken piece, it was more than sufficient; needless to say it was heavenly. Would love to try desserts from the menu specially baklawa. Good place for get-together. Request the staff to maintain clean washrooms and dining/seating area."
2, 3, "Strictly vegetarian~~

Late night #needforfood has been taken care by this outlet in DLF for every hungry soul out der but this time I though to order it to my office for my evening hunger. I ordered vegetable cheese Maggie and it came on time and was packed in a white box like you see in a picture.packaging is ok, the spoon was poor quality, could have been stronger to hold the Maggie.The moment I open the box, people around me could smell it and it was great, looks cheesy and yummm. So was the taste, it was good, never dissapoints. Price is nominal as well which is around 50 -70 bucks for various varieties they serve. Deserves a 4.5. I haven't tried the Momo's yet, will add to the review once I try them.

I am sure you have already had this sometime, if not you should surely try coz who doesn't like Maggie right!! ❤️❤️ @hungermaggipoint 😀"
2, 3, "Food - 5
VFM - 3.5
Packing - 3.5
Service 3.5

Have been to this place multiple times. This is located at the bottom floor of SLN Terminal Mall. Ordered Heaven Can Wait Chicken burger, Double Big Joy and Big Joy Veg burgers.
Heaven Can Wait was awesome with two chicken patties of pepper and spicy flavors, along with lettuce, cheese and jalapeño sauce. Packing for delivery can be improved though.
The big joy buggers were fine but lacking in sauces."
1, 0, "I didnt say to include cheese but they did here. .I didnt liked it ."
1, 0, "Pathethic service and bad quality of food. Its hard to give any particular recommendations for this place since neither the ambience, the food or service is good anyway.

Disappointed."
3, 4, "Awesome Ambience, cheap beers and you can get Kingfisher drought tower in rs 750, ,food is also up to the mark.
Beet part, they allows stack on weekend s."
3, 4, "I ordered food online but I wish I went there so that I could’ve had more dishes. The food was totally delicious and their packaging is worth the money. I had Lucknow Chicken Dum Pulao Boneless and it made my day. Quantity looks less but taste makes up for it and you’ll end up having a full tummy. Hyderabadi Briyani is famous but I found this on equal par with it!"
1, 3, "Grilled chicken is not good"
2, 3, "A nice place to hangout with friends and have drinks.
Must try the brewed beer. I tried the OTM ledger, which was pretty good.

Food wise pizza was pretty good. We ordered the mexican pizza. Along with crispy lotus stem and water chestnuts.

Deducting one star for poor service and lack of staffs which resulted in delay in services."
2, 3, "What I love about their shakes are they are not very high in sugar. So sugars don't kill the flavors expected in that shake...!!!

Tried:

poppy corn: Absolutely loved the flavor. You could get a clear flavor of popcorns. Would recommend to try if you love popcorns.

old granola (honey loops) Again amazing. One of the must tries.

berry cherry: Good amount of berries, great flavor. Recommended.
caramel Brownie: This was also pretty good. I am. personally not a caramel flavor lover, so not my fav.

coffee hazel nut: This was just WOW. must have for coffee lovers. They were really generous in putting the coffee in the shake :D. It had a strong coffee flavor. So if you are a true coffee lover you'll like it. ;)
Cheesecake (tuti fruity) : It had exactly tuti fruity flavor. Didn't like it much.
oreo and little hearts (cookie feast): Oreo shake never fails.. :) It was good.
Blueberry slush: I didn't like the slush though. it only seemed to have color but no taste.

Mint o fruit: I don't like mint flavors at all. And was ofc Minty. So not my fav. If you like mint flavors it's for you.

They have different toppings for french fries and potato wedges and they are all just soooo amazing... Must Try.

Cheers.!!"
2, 1, "Been there for lunch few of the non-veg starters were under cooked and mexican chicken was salty and place was too loud with music too.overall didnt had pleasant time"
0, 3, "The food from this restaurant was lipsmacking and packed with real flavours.
Literally after taking a bite my hunger upthrusted and my hands started shivering.. u can image how tasty it was and i wanted to finish that meal asap...!
Have u hv had this kind of feeling ? 😃

Service was real quick comprising both Order Acceptence and Delivery.

Suggestions:
Plz add cocktail onion with the meal
Portion of dal was less as it wasnt reaching 3/4 of the brim.

Tu sum up this review I would say... Kuddos and you deserve ur brand name !!"
2, 3, "Taste is good, but quantity is very less for that price"
0, 3, "Tasty food. However wrong chutney was sent"
4, 3, "The best part about this place is ambiance and seating arrangement, very unique in style and an enjoyable experience especially when visited with friends/family.
We have to sit on sofas with legs crossed and food is served on short movable table placed on sofa.

People go here to have mandi, the dish that they are meant for. We too have ordered chicken stick mandi along with two other chicken starters, chicken tikka and chicken wings, of which the former was palatable.
We had mandi for the first time and were flabbergasted by the enormous size of plate and quantity of food. Five of us were unable to finish it off, rice was soft and chicken pieces were tender and rightly marinated.
The feeling of multiple people having food from same plate is amusing.
Their service deserves a special mention, they just appear when we need them and give us privacy otherwise.
Overall this is a must visit to have mandi."
1, 2, "Went there on a Sunday evening with the intention of having just a coffee and relax - as you do in a cafe. This review is not going to be about the food taste and quality and ambiance (which is good as reviewed by numerous others) but a different thing which bothered me once I started going through the menu - how expensive the place is! I have been to swanky places in 5 star hotels, but they are expensive because they are IN 5 star hotels. This place is at an ordinary location with very ordinary ambiance. Could never figure why my coffee was 300 bucks and the cheese cake slice 400.
Taste - 4 stars
Value For Money - 2 star
Overall - 3 stars"
1, 2, "This place is tough to find. Due to constructions nearby and it is a normal hut styled place. Don't go by the pictures.
Food is average. Few items very bad mainly their special biryani. Oh my god it was undercooked and chicken was terrible.
It is not so happening place.
Their main course chicken and veg curries are good and adequate quantity.

P. s: they are good for delivery, yet if u can skip there are good places nearby."
3, 4, "Ordered Afghani nuts ice-cream; gotta say the quantity was more than what I expected and the amount of nuts/dry-fruits was generous. Ice cream was smooth and tasty. Would definitely order again!
Packaging was superb.. they put in dry-ice to keep it cool. Appreciate the effort.

Edit:
Orered hot brownie with vanilla ice-cream. Once again, the packaging was very thoughtful; they sent two separate packages for the hot brownie and ice-cream (with dry ice to keep it cool).
It tasted very delicious... quantity was ample; couldn't finish it alone! It's good enough as dessert for 2 people.

Will keep ordering from Amul ! :)"
0, 2, "I'm reviewing a delivery order.

I've ordered spaghetti aglio e olio from this place.
It was soaking in oil and very less quantity.

The packing seemed like it was done in a hurry with minimum care. No spoon/fork and tissues were given with the pack.

I really liked the way they didn't backout when it came to adding olives and cherry tomatoes. Keeping the oil aside, the taste was good. However, there is scope for improvement because I've read good things about this place and their food. Didn't expect it to be like this."
2, 3, "We happened to visit American Wild Wings on a Friday evening and the place was desolated. The place is tidy and can have a better ambiance keeping in view their concept.

We started with a lemon mojito. Though refreshing, it was a tad too sweet for my liking. We thought salad would be a good start but unfortunately, our Chicken Ceasar salad was drenched in dressing. It almost tasted like we ate the lettuce with the sauce and not otherwise.

Then came in an array of wings, each with their own signature sauces. We tried 9 different sauces and liked most of them. All the wings were fried well and had a good crunch. Of all the sauces, my top picks were there barbeque, konaseema amd mexican jerk. Barbeque had a perfect sweet to tang ratio, the konaseema had a nice curry spice flavor with hints of pepper, coriander and coconut, and the Mexican jerk had a garlicky peri-peri kind of flavor. Must try sauces! While these sauces were good, few sauces like the lemon garlic and original hot were disappointing. The lemon garlic was doused with oil and it was floating around in our plate. The original hot didn't taste of anything but spice and bitterness. They also have a sauce names Atomic - the hottest on their menu. It was indeed very hot for my liking. We also tried a drumstick in atomic sauce and it was decent. Chicken nuggets were good. Nothing out of the ordinary.

Though their USP is wings, they succumbed to peer pressure and started serving Biryanis, fried rice and a few curries. We tried their chicken fry-piece biryani and it had a unique flavor. The meat was cooked well amd the level of spice was apt, but the bottom half of the biryani was an oil well. Chicken Punjabi, a sarson ka saag version was actually really good. It had the perfect saag flavor. Again, too oily.

Upon their suggestion, we tried their pasta in white sauce and chicken popcorn, both of which were terrible. The pasta was rancid and the popcorn felt like chewing on cardboard. Stay away!

Another thing we noticed was the temperature of the dishes. The first serving of our wings was dead cold. When brought to their notice, the second serving was mouth-burning hot. The biryani seemed like it was heated in the serving bowl. The bowl was so hot, we couldn't even pick it to put the food in our plates.

Overall, they do have potential but have a lot of areas to improve. The quality of wings and sauces is good but the other areas like the usage of oil in dishes, serving temperature and the freshness of ingredients needs to be worked upon. They also need to quickly improve on the ambiance and vibe of the place to attract crowds. Price wise, they are pretty pocket friendly!

Taste: 3.5/5
Ambiance: 3/5
Service: 4/5
Value for money: 4/5"
2, 3, "I have been ordering from this place for quite some time now. I have tried various types of veg biryanis available. My personal favourites are veg biryani, capsicum and mushroom biryani, mixed veg biryani.
Recently i ordered paneer tikka biryani which was really bad and i advice you to avoid ordering it.
Overall it's a good place to try out different kinds of biryanis"
2, 3, "Just went due to the zomato rating. Small place, may be 40-45 seater restaurant. Close to offices. Has valet parking, which most of the small restaurants doesn't have. Staff is courteous. They have a daily course meals round the week. Good option instead of buffets. Every item in the platter is good. Nothing wrong to point out. Lighter on pockets, go for it. with Bhaskar Varada"
2, 3, "We ordered from here via swiggy:

We ordered:

Stuffed Mushrooms: They were a little too sweet, yet they tasted great. And quantity was great.

Mushroom in Shechuan Sauce: We ordered this dish, but they sent us some fried paneer gravy dish, we opened it very late after we recieved the order, so we decided to go with it and the paneer  tasted like they used frozen paneer, or may be it was tofu, I have never tasted tofu before so I can't say. But we didn't really like it.

Hakka Noodles: Noodles tasted great. Really tasty, and quantity was really good.

Fresh lime soda: It was really good and refreshing.

Fried rice: It was decent with good amount of veggies. Quality of rice was good.

Stir fried greens: It was really very tasty, good amount of different veggies like Broccoli, Pringle etc
Although we were disappointed that there was no Mushroom."
3, 4, "A decent restaurant with courteous staff and mouth watering Chinese dishes.A good place to go by for Chinese cuisine...sizzler noodles and bamboo rice is a must try for if you can go with less spice!"
2, 3, "It's a pretty good sports bar, so would highly recommend all the cricket lover to visit this place.
The service is pretty slow but the food is pretty standard and quantity is pretty good. Their washroom was under construction so it was a little inconvenient.
Overall pretty good."
2, 3, "It is a good place to be. The ambience is very friendly. The food is on par with what you expect. The prices are decent enough and is not very easy to locate. Although, if you're using Google maps, then it's easy to find."
3, 4, "Am big fan of KS as we are regular customers .we know each and every item and here. They'll take feedback too. And service is slow as crowd was big.. But overall good."
4, 3, "Nice place for desserts. Tried their red velvet cheese cake which was okayish as I am not a fan of the same anyway. And had packed a chocolate cake. The cake was really tasty and filling. It had that rich taste of chocolate and the texture of the cake was amazing. It was packed very well.
These guys are great with their quality and presentation."
0, 2, "New Entry in Zomato Gold-
Ambiance- 
Olive Garden is located at the Time Square, Indira Nagar beside Dominos Pizza. There is nothing much to say about the ambiance of Olive Garden Restaurant. This restaurant is very small, with no live screening and no music. Ambiance is quite boring, as they didn't even decorated it much. Even on the Saturday night, this place was not at all crowded.
Food-
We ordered Chicken Chatpati Kebab as a starter cost approximately INR 255. The quantity of Kebab was very less. They served Kebab with the green Pudina Chutney. Both the qauntity and the quality was not upto the expectations. Then we ordered Chicken Dum Biryani cost approximately INR 210.
This was the worst dum biryani I ever had, that I didn't even tasted like Biryani. Instead of Dum, they added so much oil in that Biryani. Olive Garden offers 1+1 dish on Zomato Gold membership.
Service-
Service here was too slow and the staff didn't even give attention.
Overall-
I don't recommend this restaurant to anybody, because of the bad experience I had here."
3, 2, "This was my second trip here, after a long gap in between. Overall fine experience. Service is good. We ordered the Prawn Sushi and Jambalaya. The taste of the food is good. Liked the sushi, though found the pieces a little too big. The jambalaya was good in taste and presentation. Overall, good ambience with decent food. Liked the ambience and service better than the food."
4, 3, "I tried the buffet dinner. Very good spread both for vegetarians and non vegetarians . The food was good and the staff were friendly too. Will definitely be going there again. Do check out my blog page for more reviews @s.t.a.s.h on instagram."
2, 3, "The parathas actually tastes like an authentic North Indian dish ! Not a big fan of spicy food, but liked the parathas A LOT! For ppl like me who prefer low spice food shall make a special mention !"
