Predicted label, Actual label, Review
3, 2, "nice milkshakes but loosing its quality since the inception. i feel artificial flavors dominate shakes. good ambience, nice staff. 

Ambience: 4/5
food:         3/5
Service:     4/5"
3, 4, "Authenticity...seafood must try. Not spicy, bland and pure Chinese. Schezwan chicken, corn mushroom fried rice, Thukpa, big bowl noodles...yum!"
3, 4, "I absolutely love ordering from this place for all special occasions. I make it a point to take back their cupcake boxes home whenever I am visiting my parents.
This place is pretty expensive and there’s no denying that but if you can afford these indulgences maybe once a year, it’s so worth it.
I have usually ordered their eggless cupcakes in a mixed box of vanilla and chocolate but I have tried their sample cakes multiple times and I can’t wait to order them.
Note: they usually need advance orders so give your order on time and they are closed on Sundays so make sure that you call and confirm before making the trip."
4, 2, "Loved the food."
1, 0, "Donuts were okay.
Milkshakes and thick coffee was horrible.
AC want working and tables were very dirty.
Wouldn't recommend anyone to visit.."
3, 4, "Been here for my college farewell on a tuesday afternoon! Absolutely loved the ambience. In Food , starters were amazing . However, main course and desserts could be better. We booked the dance floor with additional charges and have to say we had hell of a time dancing to the dj. Absolutely customer friendly service.

Overall,
Ambience - 5/5
Dj-5/5
Food-4.5/5
Service-5/5
Will recommend for partys with friends!!"
1, 0, "I ordered dal makhni , garlic naan and butter roti... It wasn't good at all. It tasted a bit sour.. Like a stale food. Roti n naan were hard to chew."
2, 3, "packing was nice. food was good. but pineapple was ripped perfectly as well as it was not fresh. another thing is I ordered for juice pack and u sent me water bottle."
4, 3, "Visited Hyderabadi Daawat along with 8 friends for dinner. Surprisingly found this place far too good to my expectations. The ambience, service, food were really gr8. Was really happy to dine at this hidden gem. Ordered Paya shorba which was deliciously made. Succulent paya with equally tasty shorba. For starters we ordered murgh ke Sholay, Phuket fish, rounakhi sheekh kebabs. Every item was a revelation. Gr8 care had been given to maintain the authenticity of each item. For mains we ordered chelo kebab and murgh musallam. Chelo kebab was presented with chicken kebab, and sheekh kebab with tasty ruce. It being a Persian dish, rice was little bland which was complemented perfectly by the combination of both the kebabs. Perfect. And the murgh musallam was as perfect as it could be. Wondered why we have not visited this place before. A definite must visit from me. Keep it up team HD. You rock!!!!"
2, 0, "I have been to this place on a sunday with my friends thinking I can have a good meal and spend time with friends but the moment I arrived there it was around 2:15pm and the manager there started nagging saying that the kitchen is going to close in next 10 minutes can you please place the order. This continued even after we placed the main course around 2:30 pm too.. The food tasted good but the nagging was annoying.."
1, 2, "curd rice not good"
4, 3, "The food is really good and waiter Narender is very enthusiastic with his work. Ambience is just ok and starters are awesome. Main course is just ok and deserts are available with different varieties. 5star rating for Narendra for his work and service."
3, 2, "Nice ambiance. Food is good to average nothing to write home about ?. My only complaint is the portion size which is a tad smaller for the money u r paying. We ordered hariyali tikka which was too soft n yummy. One crispy fried chicken whose actual name I forgot. Overall a nice experience partly due to the courteous staff but food portion is something that can be looked into."
