Predicted label, Actual label, Review
3, 4, "Friendly. Nice service chicken biryani is delicious
Curry bowl design nice... Nice temp nice as cooling nice tooth pics nice spot for selfie nice restaurant settings"
3, 4, "Authenticity...seafood must try. Not spicy, bland and pure Chinese. Schezwan chicken, corn mushroom fried rice, Thukpa, big bowl noodles...yum!"
3, 4, "I absolutely love ordering from this place for all special occasions. I make it a point to take back their cupcake boxes home whenever I am visiting my parents.
This place is pretty expensive and there’s no denying that but if you can afford these indulgences maybe once a year, it’s so worth it.
I have usually ordered their eggless cupcakes in a mixed box of vanilla and chocolate but I have tried their sample cakes multiple times and I can’t wait to order them.
Note: they usually need advance orders so give your order on time and they are closed on Sundays so make sure that you call and confirm before making the trip."
3, 4, "The ambience is really good
Dal makhani is a must try
Staffs r really good
A must visit place. It can be enjoyed with both family and friends. Looking forward to visit soon"
3, 2, "Loved the food."
1, 0, "Donuts were okay.
Milkshakes and thick coffee was horrible.
AC want working and tables were very dirty.
Wouldn't recommend anyone to visit.."
3, 4, "Been here for my college farewell on a tuesday afternoon! Absolutely loved the ambience. In Food , starters were amazing . However, main course and desserts could be better. We booked the dance floor with additional charges and have to say we had hell of a time dancing to the dj. Absolutely customer friendly service.

Overall,
Ambience - 5/5
Dj-5/5
Food-4.5/5
Service-5/5
Will recommend for partys with friends!!"
1, 0, "I ordered dal makhni , garlic naan and butter roti... It wasn't good at all. It tasted a bit sour.. Like a stale food. Roti n naan were hard to chew."
2, 3, "packing was nice. food was good. but pineapple was ripped perfectly as well as it was not fresh. another thing is I ordered for juice pack and u sent me water bottle."
4, 3, "Visited Hyderabadi Daawat along with 8 friends for dinner. Surprisingly found this place far too good to my expectations. The ambience, service, food were really gr8. Was really happy to dine at this hidden gem. Ordered Paya shorba which was deliciously made. Succulent paya with equally tasty shorba. For starters we ordered murgh ke Sholay, Phuket fish, rounakhi sheekh kebabs. Every item was a revelation. Gr8 care had been given to maintain the authenticity of each item. For mains we ordered chelo kebab and murgh musallam. Chelo kebab was presented with chicken kebab, and sheekh kebab with tasty ruce. It being a Persian dish, rice was little bland which was complemented perfectly by the combination of both the kebabs. Perfect. And the murgh musallam was as perfect as it could be. Wondered why we have not visited this place before. A definite must visit from me. Keep it up team HD. You rock!!!!"
1, 0, "I have been to this place on a sunday with my friends thinking I can have a good meal and spend time with friends but the moment I arrived there it was around 2:15pm and the manager there started nagging saying that the kitchen is going to close in next 10 minutes can you please place the order. This continued even after we placed the main course around 2:30 pm too.. The food tasted good but the nagging was annoying.."
1, 2, "curd rice not good"
3, 2, "Visited YYT with my family for Friday dinner. Was longing to have Mandi for long. The restaurant is located close to Q-City amidst the residential property but still attracts good foot fall. The décor is simple yet beautiful. Generous staff. We ordered half chicken mandi and later an extra chicken piece, it was more than sufficient; needless to say it was heavenly. Would love to try desserts from the menu specially baklawa. Good place for get-together. Request the staff to maintain clean washrooms and dining/seating area."
3, 4, "Good food and Great Ambience... Nice place to have Mandi..and this place offers variety of Arabian, Turkish recipes too..Also a great place to take clicks..."
3, 4, "Follow My Instagram @BeingHydFoodie

Hyderabadi Daawat, A New place in town located at Gachibowli. A place know from serving pure authentic Hyderabadi cuisine! And this has been in my list to visit since this place opened.

Talking about the Ambiance, It's gorgeous, simple and spacious with beautiful Interiors and great flighting.

We were here for lunch and since it was our First visit, we were confused what to order, then we asked the management to send their Signature dishes.

But before that since it was very hot, we ordered for Mocktails.
Strawberry Mojito, Virgin mojito, blue Hawaii, Soda fountain and Mango mule were among the Mocktails we had, They're amazing and refreshing!

Started with Yakhni shorba: Very delicious, Mutton was Cooked properly. Soup was Served very Hot!

Murg Sholay Kebabs: The signature Starter of this Place, very well presented with the Mini BBQ sizzling grills. The chicken was Little hard, should've cooked for a Little Longer.

Wok tossed chicken: Chicken was soft and Tender tossed in sauces, Little sweet. Chopped with Bell peppers and spring onions of Topping. Absolutely delicious.

Phuket Fish: One of the best fishes I had recently, very soft perfectly cooked, Slightly spicy. A Must try.

Sikanderi Raan: the House Speciality! The most Tender meat I've ever had in life, Probably the best you'll get in Hyderabad. Very tender, Full of Masalas and loaded with Ghee. The Marination for the Whole Raan is done 24 hours before and then roasted and served on table. Highly recommended!

Chelo Kebabs: Another House Speciality, The Kebabs were tender, Smokey and Delicious. Served along with Mild Flavoured rice, grilled tomatoes, Sunny side up and salad . A perfect platter for 2 people!

Murg Musallam: I've had this in many places, didn't really like it, But here it was one of the bests I had in the city. Though it takes 30 minutes to cook, it was worth waiting. The whole chicken is stuffed with Minced Meat and Boiled Eggs! Chicken is marinated with many spices and Curd Mainly. Cooked very perfectly, tender and Absolute scrumptious. Served along with flavoured rice! Highly recommended and The Best Murg masallam you'll ever find!

Chicken Tikka Lababdar: Scrumptious, Slightly spicy, chicken cooked right to perfect. No Colors added in the gravy, Just Delicious!

Nihari Gosht: I usually don't order mutton gravies from restaurants, But I had Faith in this palace that they serve good meat. As their mutton starters were excellent, even from the Main course this gravy was Scrumptious. Spicy and mutton cooked perfectly. We had these 2 Delicious curries with Hot Butter Naans! I would Recommend these 2 curries, A Must try!

Mutton Biryani: Very Flavourful, meat was perfectly. Rice grains were of a good quality! Just that they added a Lot of cardamom in it, with which the Biryani gave a Strong Flavour. Tasted pretty good.

Ended the Day with Desserts: Hot Shahi Tukda and Matka Firni. Both tasted Delicious, They weren't too sweet. Perfect to end our day.

Outstanding and Fantastic experience at Hyderabadi Daawat, One of the places to serve authentic Hyderabadi cuisine, No Colors and preservatives. Hope This place will never disappoint! It was worth travelling 25 KM's to visit this place. The staff was Humble and took good care of us."
1, 0, "I didnt say to include cheese but they did here. .I didnt liked it ."
3, 4, "I had a food session here. The service was very nice and food was nice too. They have this two amazing varieties of soups, Arabianchicken soup and lemon coriander soup, which were amazing. Dragon Chicken and Hariyali fish is a must try. Chiken pahadi was good as well. They have two varieties of Mandi, fish fried mandi and chicken grilled Mandi, the presentation was excellent. I’m in love with the chicken Mandi here. They have a variety of milkshakes and deserts. Kaddu ki kheer was delicious . Lovely place and the ambiance is beautiful aswell."
1, 0, "Pathethic service and bad quality of food. Its hard to give any particular recommendations for this place since neither the ambience, the food or service is good anyway.

Disappointed."
3, 4, "Awesome Ambience, cheap beers and you can get Kingfisher drought tower in rs 750, ,food is also up to the mark.
Beet part, they allows stack on weekend s."
3, 4, "I ordered food online but I wish I went there so that I could’ve had more dishes. The food was totally delicious and their packaging is worth the money. I had Lucknow Chicken Dum Pulao Boneless and it made my day. Quantity looks less but taste makes up for it and you’ll end up having a full tummy. Hyderabadi Briyani is famous but I found this on equal par with it!"
2, 1, "rotis not baked well"
2, 1, "I had a real craving for a chocolate and ordered Death by Chocolate cake and Quadruple Swiss Chocolate Cookie.
Cookie was pretty awesome and would definitely recommend trying(though it's pretty small) . Death by Chocolate cake was not fresh, and had that sugary texture to it. It was really disappointing."
1, 3, "Grilled chicken is not good"
2, 1, "Been there for lunch few of the non-veg starters were under cooked and mexican chicken was salty and place was too loud with music too.overall didnt had pleasant time"
3, 4, "it is one of the best in gachibowli. it is value for money. the best item i liked is Veg.Biryani and Sambar Rice. I always love to party there."
1, 0, "Nasi Goreng, Kung pao chicken & burnt garlic chicken were really spicy & over powered with chilly flakes! Looked & tasted like every second grains of rice had a chilli flake tagged to it! The saving grace was the Indonesian prawn curry with steamed rice. Really upset with tonight’s order."
2, 1, "Visited this restaurant thinking to have good food, but the efforts were wasted. We went on a Friday and we started eating the starters. After starters when we asked for main course, the staff told that on Friday they have only street food and no main course is available. Felt like we wasted our money.

Though the starters were good, but main course should also be there. Street food should be the add on and not the only food.

Two stars only for the ambience.

shubhamtraveltales.wordpress.com"
2, 3, "Tasty food. However wrong chutney was sent"
1, 2, "This place is tough to find. Due to constructions nearby and it is a normal hut styled place. Don't go by the pictures.
Food is average. Few items very bad mainly their special biryani. Oh my god it was undercooked and chicken was terrible.
It is not so happening place.
Their main course chicken and veg curries are good and adequate quantity.

P. s: they are good for delivery, yet if u can skip there are good places nearby."
3, 4, "Ordered Afghani nuts ice-cream; gotta say the quantity was more than what I expected and the amount of nuts/dry-fruits was generous. Ice cream was smooth and tasty. Would definitely order again!
Packaging was superb.. they put in dry-ice to keep it cool. Appreciate the effort.

Edit:
Orered hot brownie with vanilla ice-cream. Once again, the packaging was very thoughtful; they sent two separate packages for the hot brownie and ice-cream (with dry ice to keep it cool).
It tasted very delicious... quantity was ample; couldn't finish it alone! It's good enough as dessert for 2 people.

Will keep ordering from Amul ! :)"
3, 4, "Went for the dinner with the family. All the items were delicious. You must try the firni in deserts.
Dont miss the platter and mouth watering non veg platters."
3, 4, "Tanduri chiken is very good and
Chiken biriyani is very good and
Nice place in paradise gachibowli
I am happy and enjoy the food
And service is very good"
2, 3, "We happened to visit American Wild Wings on a Friday evening and the place was desolated. The place is tidy and can have a better ambiance keeping in view their concept.

We started with a lemon mojito. Though refreshing, it was a tad too sweet for my liking. We thought salad would be a good start but unfortunately, our Chicken Ceasar salad was drenched in dressing. It almost tasted like we ate the lettuce with the sauce and not otherwise.

Then came in an array of wings, each with their own signature sauces. We tried 9 different sauces and liked most of them. All the wings were fried well and had a good crunch. Of all the sauces, my top picks were there barbeque, konaseema amd mexican jerk. Barbeque had a perfect sweet to tang ratio, the konaseema had a nice curry spice flavor with hints of pepper, coriander and coconut, and the Mexican jerk had a garlicky peri-peri kind of flavor. Must try sauces! While these sauces were good, few sauces like the lemon garlic and original hot were disappointing. The lemon garlic was doused with oil and it was floating around in our plate. The original hot didn't taste of anything but spice and bitterness. They also have a sauce names Atomic - the hottest on their menu. It was indeed very hot for my liking. We also tried a drumstick in atomic sauce and it was decent. Chicken nuggets were good. Nothing out of the ordinary.

Though their USP is wings, they succumbed to peer pressure and started serving Biryanis, fried rice and a few curries. We tried their chicken fry-piece biryani and it had a unique flavor. The meat was cooked well amd the level of spice was apt, but the bottom half of the biryani was an oil well. Chicken Punjabi, a sarson ka saag version was actually really good. It had the perfect saag flavor. Again, too oily.

Upon their suggestion, we tried their pasta in white sauce and chicken popcorn, both of which were terrible. The pasta was rancid and the popcorn felt like chewing on cardboard. Stay away!

Another thing we noticed was the temperature of the dishes. The first serving of our wings was dead cold. When brought to their notice, the second serving was mouth-burning hot. The biryani seemed like it was heated in the serving bowl. The bowl was so hot, we couldn't even pick it to put the food in our plates.

Overall, they do have potential but have a lot of areas to improve. The quality of wings and sauces is good but the other areas like the usage of oil in dishes, serving temperature and the freshness of ingredients needs to be worked upon. They also need to quickly improve on the ambiance and vibe of the place to attract crowds. Price wise, they are pretty pocket friendly!

Taste: 3.5/5
Ambiance: 3/5
Service: 4/5
Value for money: 4/5"
2, 3, "We ordered from here via swiggy:

We ordered:

Stuffed Mushrooms: They were a little too sweet, yet they tasted great. And quantity was great.

Mushroom in Shechuan Sauce: We ordered this dish, but they sent us some fried paneer gravy dish, we opened it very late after we recieved the order, so we decided to go with it and the paneer  tasted like they used frozen paneer, or may be it was tofu, I have never tasted tofu before so I can't say. But we didn't really like it.

Hakka Noodles: Noodles tasted great. Really tasty, and quantity was really good.

Fresh lime soda: It was really good and refreshing.

Fried rice: It was decent with good amount of veggies. Quality of rice was good.

Stir fried greens: It was really very tasty, good amount of different veggies like Broccoli, Pringle etc
Although we were disappointed that there was no Mushroom."
3, 4, "Went there two times and ordered one same dish i.e. Grilled fish with rice and I must say it's flawless...it should be there signature dish.
Other dishes were tasty too. Liked their service...well trained staff. Overall a good place to enjoy."
3, 4, "A decent restaurant with courteous staff and mouth watering Chinese dishes.A good place to go by for Chinese cuisine...sizzler noodles and bamboo rice is a must try for if you can go with less spice!"
1, 0, "Delivered late and cold"
3, 4, "Perfectly a best place to hangout..... Starters were awesome and delicious, dj played with hip hop and remix was a kinda mood changing..... Over all good experience will visit again 👍"
1, 0, "I didnt find chicken in chicken biryani"
3, 4, "Am big fan of KS as we are regular customers .we know each and every item and here. They'll take feedback too. And service is slow as crowd was big.. But overall good."
1, 2, "New Entry in Zomato Gold-
Ambiance- 
Olive Garden is located at the Time Square, Indira Nagar beside Dominos Pizza. There is nothing much to say about the ambiance of Olive Garden Restaurant. This restaurant is very small, with no live screening and no music. Ambiance is quite boring, as they didn't even decorated it much. Even on the Saturday night, this place was not at all crowded.
Food-
We ordered Chicken Chatpati Kebab as a starter cost approximately INR 255. The quantity of Kebab was very less. They served Kebab with the green Pudina Chutney. Both the qauntity and the quality was not upto the expectations. Then we ordered Chicken Dum Biryani cost approximately INR 210.
This was the worst dum biryani I ever had, that I didn't even tasted like Biryani. Instead of Dum, they added so much oil in that Biryani. Olive Garden offers 1+1 dish on Zomato Gold membership.
Service-
Service here was too slow and the staff didn't even give attention.
Overall-
I don't recommend this restaurant to anybody, because of the bad experience I had here."
3, 2, "This was my second trip here, after a long gap in between. Overall fine experience. Service is good. We ordered the Prawn Sushi and Jambalaya. The taste of the food is good. Liked the sushi, though found the pieces a little too big. The jambalaya was good in taste and presentation. Overall, good ambience with decent food. Liked the ambience and service better than the food."
0, 1, "Delivered cold food. food is not even warm."
3, 4, "Desserts and Haleem were great. Service was good. Dharma, the associate was very courteous. Great ambience. Large variety of dishes on the menu."
0, 1, "I have to wait for so much time"
1, 0, "I ordered chicken biryani online.. Zomato delivered it ontime but food quality was very bad.. Honestly I doubt whether they are serving chicken or some other meat.. I had to thrown the biryani that they delivered.. Very bad restaurant that I felt."
3, 4, "Shah Ghouse is a best place for Hyderabad biryani. Their quality and quantity are really satisfied. They have all the branches with same taste."
3, 4, "One definitely have to try their coconut bun and cream cheese bagels. Bread loafs are so fresh here, and we can get variety of cheese. Super place to hangout."
2, 0, "The ambiance of this place doesn’t justify the price. Severely over priced. Only with Gold is it ok. Would prefer if they thought of their service and ambience and try and compare with other restaurants out there."
3, 4, "This is a restaurant provides a lovely, juicy, tasty, spicy shawarma, 1 for 1 no other dishes required for kuch l lunch or dinner, but a bit spicy that makes you give a pause and sip some juice, i didn't do that though
It's a perfect shawarma..!!"
3, 4, "Ambience is good and well known for wings and service by sunny is very good.Good place to chill out with friends as well as family with tasty food and drinks"
