Predicted label, Actual label, Review
2, 3, "Visited with office friends. First things first, the staff was very polite and prompt. They kept asking what they should bring for us next and kept trying to over feed us 😄 We even asked for a change of barbecue as it seemed one of them was not hot enough. The server tried to explain why too much heat is not good and might spoil/overcook the food, but on insisting, politely changed the barbecue.

Coming to the food:
Vegetarian had a variety of dishes from paneer , mushroom, crispy corn, potato etc. for starters. So, yes this place is good enough for vegetarians too.

Non- vegetarian starters had basic chicken (tandoori/leg), fish, prawns, mutton seek kabab (must try) Etc.

The main course, like any other buffet place was not that interesting. Noodles being one of my personal favourite, were a little disappointing.

The sweet section would make anyone happy. A thing to notice was that even though we stayed till the outlet was almost going to close, the sweet cornor was refilled on time.

Again kudos to the servers who made it a happy experience!!"
3, 4, "Friendly. Nice service chicken biryani is delicious
Curry bowl design nice... Nice temp nice as cooling nice tooth pics nice spot for selfie nice restaurant settings"
3, 4, "Authenticity...seafood must try. Not spicy, bland and pure Chinese. Schezwan chicken, corn mushroom fried rice, Thukpa, big bowl noodles...yum!"
1, 2, "taste was good. but you provided only one mayo packet and 2 chilli sauce for 3 momo orders. and the ones provided dripped onto the package because of loose package"
3, 4, "I absolutely love ordering from this place for all special occasions. I make it a point to take back their cupcake boxes home whenever I am visiting my parents.
This place is pretty expensive and there’s no denying that but if you can afford these indulgences maybe once a year, it’s so worth it.
I have usually ordered their eggless cupcakes in a mixed box of vanilla and chocolate but I have tried their sample cakes multiple times and I can’t wait to order them.
Note: they usually need advance orders so give your order on time and they are closed on Sundays so make sure that you call and confirm before making the trip."
1, 2, "Marsala Food company is an alright place to have a quick lunch if you don’t want to travel far from work. We ordered a mutton biryani and literally had to tug the mutton pieces apart; they were really hard. The food is fine and doesn’t actually reach the fine dining standards the restaurant boats of. The place could use better service and food quality.
Overall, not a bad place to have a meal."
3, 4, "The ambience is really good
Dal makhani is a must try
Staffs r really good
A must visit place. It can be enjoyed with both family and friends. Looking forward to visit soon"
4, 2, "Loved the food."
1, 0, "Donuts were okay.
Milkshakes and thick coffee was horrible.
AC want working and tables were very dirty.
Wouldn't recommend anyone to visit.."
3, 4, "Been here for my college farewell on a tuesday afternoon! Absolutely loved the ambience. In Food , starters were amazing . However, main course and desserts could be better. We booked the dance floor with additional charges and have to say we had hell of a time dancing to the dj. Absolutely customer friendly service.

Overall,
Ambience - 5/5
Dj-5/5
Food-4.5/5
Service-5/5
Will recommend for partys with friends!!"
1, 2, "too oily"
3, 4, "We had lunch,Chef Pushkar personally guided us to our seat we had a warm welcome. Talking about the food taste is awesome,I had chicken kebab 5/5,pizza 5/5.plus the mushroom saute, Chocolate pastary5/5,strawberry mousse 4.6/5,Chocolate mousse 5/5."
1, 0, "I ordered dal makhni , garlic naan and butter roti... It wasn't good at all. It tasted a bit sour.. Like a stale food. Roti n naan were hard to chew."
2, 3, "if the pongal is made tastier then it would be more better and will have the good ratings as well"
2, 3, "packing was nice. food was good. but pineapple was ripped perfectly as well as it was not fresh. another thing is I ordered for juice pack and u sent me water bottle."
1, 2, "The place has an amazing ambiance, nice seating at rooftop beside the pool with amazing view. And all 3 stars goes for it. But the food is not great at all.. u can go there just to enjoy the view, but food a big NO.. the biriyani was very dry, hardly any options for starters or desserts. The staff were extremely courteous and srrvice was also okay."
